Team,Year,Division,Conference
Nevada - Reno,2022,IA,MWC
New Hampshire,2022,IAA,Colonial
New Mexico,2022,IA,MWC
New Mexico State,2022,IA,Indep
Nicholls State,2022,IAA,Southland
Norfolk State,2022,IAA,MEAC
North Alabama,2022,IAA,ASUN
North Carolina,2022,IA,ACC
North Carolina - Charlotte,2022,IA,CUSA
North Carolina A&T,2022,IAA,Big_South
North Carolina Central,2022,IAA,MEAC
North Carolina State,2022,IA,ACC
North Dakota,2022,IAA,Missouri_V
North Dakota State,2022,IAA,Missouri_V
Northeast Louisiana,2022,IA,Sun_Belt
Northern Arizona,2022,IAA,Big_Sky
Northern Colorado,2022,IAA,Big_Sky
Northern Illinois,2022,IA,MAC
Northern Iowa,2022,IAA,Missouri_V
North Texas,2022,IA,CUSA
Northwestern,2022,IA,Big_Ten
Northwestern State,2022,IAA,Southland
Notre Dame,2022,IA,Indep
Ohio,2022,IA,MAC
Ohio State,2022,IA,Big_Ten
Oklahoma,2022,IA,Big_12
Oklahoma State,2022,IA,Big_12
Old Dominion,2022,IA,Sun_Belt
Oregon,2022,IA,PAC_12
Oregon State,2022,IA,PAC_12
Penn State,2022,IA,Big_Ten
Pennsylvania,2022,IAA,Ivy
Pittsburgh,2022,IA,ACC
Portland State,2022,IAA,Big_Sky
Prairie View,2022,IAA,SWAC
Presbyterian,2022,IAA,Pioneer
Princeton,2022,IAA,Ivy
Purdue,2022,IA,Big_Ten
Rhode Island,2022,IAA,Colonial
Rice,2022,IA,CUSA
Richmond,2022,IAA,Colonial
Robert Morris,2022,IAA,Big_South
Rutgers,2022,IA,Big_Ten
Sacramento State,2022,IAA,Big_Sky
Sacred Heart,2022,IAA,NE
Saint Francis - Pennsylvania,2022,IAA,NE
Saint Thomas - Minnesota,2022,IAA,Pioneer
Samford,2022,IAA,Southern
Sam Houston State,2022,IAA,WAC
San Diego,2022,IAA,Pioneer
San Diego State,2022,IA,MWC
San Jose State,2022,IA,MWC
South Alabama,2022,IA,Sun_Belt
South Carolina,2022,IA,SEC
South Carolina State,2022,IAA,MEAC
South Dakota,2022,IAA,Missouri_V
South Dakota State,2022,IAA,Missouri_V
Southeast Louisiana,2022,IAA,Southland
Southeast Missouri State,2022,IAA,Ohio_V
Southern California,2022,IA,PAC_12
Southern,2022,IAA,SWAC
Southern Illinois,2022,IAA,Missouri_V
Southern Methodist,2022,IA,Amer_Athl
Southern Mississippi,2022,IA,Sun_Belt
Southern Utah,2022,IAA,WAC
South Florida,2022,IA,Amer_Athl
Stanford,2022,IA,PAC_12
Stephen F. Austin,2022,IAA,WAC
Stetson,2022,IAA,Pioneer
Stonehill,2022,IAA,NE
Stony Brook,2022,IAA,Colonial
Syracuse,2022,IA,ACC
Tarleton State,2022,IAA,WAC
Temple,2022,IA,Amer_Athl
Tennessee,2022,IA,SEC
Tennessee - Chattanooga,2022,IAA,Southern
Tennessee - Martin,2022,IAA,Ohio_V
Tennessee State,2022,IAA,Ohio_V
Tennessee Tech,2022,IAA,Ohio_V
Texas,2022,IA,Big_12
Texas A&M,2022,IA,SEC
Texas A&M-Commerce,2022,IAA,Southland
Texas Christian,2022,IA,Big_12
Texas - El Paso,2022,IA,CUSA
Texas - San Antonio,2022,IA,CUSA
Texas Southern,2022,IAA,SWAC
Texas State - San Marcos,2022,IA,Sun_Belt
Texas Tech,2022,IA,Big_12
The Citadel,2022,IAA,Southern
Toledo,2022,IA,MAC
Towson,2022,IAA,Colonial
Troy State,2022,IA,Sun_Belt
Tulane,2022,IA,Amer_Athl
Tulsa,2022,IA,Amer_Athl
Utah,2022,IA,PAC_12
Utah State,2022,IA,MWC
Utah Tech,2022,IA,WAC
Valparaiso,2022,IAA,Pioneer
Vanderbilt,2022,IA,SEC
Villanova,2022,IAA,Colonial
Virginia,2022,IA,ACC
Virginia Military,2022,IAA,Southern
Virginia Tech,2022,IA,ACC
Wagner,2022,IAA,NE
Wake Forest,2022,IA,ACC
Washington,2022,IA,PAC_12
Washington State,2022,IA,PAC_12
Weber State,2022,IAA,Big_Sky
Western Carolina,2022,IAA,Southern
Western Illinois,2022,IAA,Missouri_V
Western Kentucky,2022,IA,CUSA
Western Michigan,2022,IA,MAC
West Virginia,2022,IA,Big_12
William & Mary,2022,IAA,Colonial
Wisconsin,2022,IA,Big_Ten
Wofford,2022,IAA,Southern
Wyoming,2022,IA,MWC
Yale,2022,IAA,Ivy
Youngstown State,2022,IAA,Missouri_V
Abilene Christian,2023,IAA,ASUN_WAC
Air Force,2023,IA,MWC
Akron,2023,IA,MAC
Alabama,2023,IA,SEC
Alabama - Birmingham,2023,IA,Amer_Athl
Alabama A&M,2023,IAA,SWAC
Alabama State,2023,IAA,SWAC
Albany,2023,IAA,Colonial
Alcorn State,2023,IAA,SWAC
Appalachian State,2023,IA,Sun_Belt
Arizona,2023,IA,PAC_12
Arizona State,2023,IA,PAC_12
Arkansas,2023,IA,SEC
Arkansas - Pine Bluff,2023,IAA,SWAC
Arkansas State,2023,IA,Sun_Belt
Army,2023,IA,Indep
Auburn,2023,IA,SEC
Austin Peay,2023,IAA,ASUN_WAC
Ball State,2023,IA,MAC
Baylor,2023,IA,Big_12
Bethune - Cookman,2023,IAA,SWAC
Boise State,2023,IA,MWC
Boston College,2023,IA,ACC
Bowling Green,2023,IA,MAC
Brigham Young,2023,IA,Big_12
Brown,2023,IAA,Ivy
Bryant,2023,IAA,BigSouth_OhioV
Bucknell,2023,IAA,Patriot
Buffalo,2023,IA,MAC
Butler,2023,IAA,Pioneer
California,2023,IA,PAC_12
California - Davis,2023,IAA,Big_Sky
California - Los Angeles,2023,IA,PAC_12
California Poly,2023,IAA,Big_Sky
Campbell,2023,IAA,Colonial
Central Arkansas,2023,IAA,ASUN_WAC
Central Connecticut,2023,IAA,NE
Central Florida,2023,IA,Big_12
Central Michigan,2023,IA,MAC
Charleston Southern,2023,IAA,BigSouth_OhioV
Cincinnati,2023,IA,Big_12
Clemson,2023,IA,ACC
Coastal Carolina,2023,IA,Sun_Belt
Colgate,2023,IAA,Patriot
Colorado,2023,IA,PAC_12
Colorado State,2023,IA,MWC
Columbia,2023,IAA,Ivy
Connecticut,2023,IA,Indep
Cornell,2023,IAA,Ivy
Dartmouth,2023,IAA,Ivy
Davidson,2023,IAA,Pioneer
Dayton,2023,IAA,Pioneer
Delaware,2023,IAA,Colonial
Delaware State,2023,IAA,MEAC
Drake,2023,IAA,Pioneer
Duke,2023,IA,ACC
Duquesne,2023,IAA,NE
East Carolina,2023,IA,Amer_Athl
East Tennessee State,2023,IAA,Southern
Eastern Illinois,2023,IAA,BigSouth_OhioV
Eastern Kentucky,2023,IAA,ASUN_WAC
Eastern Michigan,2023,IA,MAC
Eastern Washington,2023,IAA,Big_Sky
Elon,2023,IAA,Colonial
Florida,2023,IA,SEC
Florida A&M,2023,IAA,SWAC
Florida Atlantic,2023,IA,Amer_Athl
Florida International,2023,IA,CUSA
Florida State,2023,IA,ACC
Fordham,2023,IAA,Patriot
Fresno State,2023,IA,MWC
Furman,2023,IAA,Southern
Gardner - Webb,2023,IAA,BigSouth_OhioV
Georgetown,2023,IAA,Patriot
Georgia,2023,IA,SEC
Georgia Southern,2023,IA,Sun_Belt
Georgia State,2023,IA,Sun_Belt
Georgia Tech,2023,IA,ACC
Grambling,2023,IAA,SWAC
Hampton,2023,IAA,Colonial
Harvard,2023,IAA,Ivy
Hawaii,2023,IA,MWC
Holy Cross,2023,IAA,Patriot
Houston,2023,IA,Big_12
Houston Christian,2023,IAA,Southland
Howard,2023,IAA,MEAC
Idaho,2023,IAA,Big_Sky
Idaho State,2023,IAA,Big_Sky
Illinois,2023,IA,Big_Ten
Illinois State,2023,IAA,Missouri_V
Incarnate Word,2023,IAA,Southland
Indiana,2023,IA,Big_Ten
Indiana State,2023,IAA,Missouri_V
Iowa,2023,IA,Big_Ten
Iowa State,2023,IA,Big_12
Jackson State,2023,IAA,SWAC
Jacksonville State,2023,IA,CUSA
James Madison,2023,IA,Sun_Belt
Kansas,2023,IA,Big_12
Kansas State,2023,IA,Big_12
Kennesaw State,2023,IAA,ASUN_WAC
Kent State,2023,IA,MAC
Kentucky,2023,IA,SEC
Lafayette,2023,IAA,Patriot
Lamar,2023,IAA,Southland
Lehigh,2023,IAA,Patriot
Liberty,2023,IA,CUSA
Lindenwood,2023,IAA,BigSouth_OhioV
Long Island,2023,IAA,NE
Louisiana - Lafayette,2023,IA,Sun_Belt
Louisiana State,2023,IA,SEC
Louisiana Tech,2023,IA,CUSA
Louisville,2023,IA,ACC
Maine,2023,IAA,Colonial
Marist,2023,IAA,Pioneer
Marshall,2023,IA,Sun_Belt
Maryland,2023,IA,Big_Ten
Massachusetts,2023,IA,Indep
McNeese State,2023,IAA,Southland
Memphis,2023,IA,Amer_Athl
Mercer,2023,IAA,Southern
Merrimack,2023,IAA,NE
Miami - Florida,2023,IA,ACC
Miami - Ohio,2023,IA,MAC
Michigan,2023,IA,Big_Ten
Michigan State,2023,IA,Big_Ten
Middle Tennessee State,2023,IA,CUSA
Minnesota,2023,IA,Big_Ten
Mississippi,2023,IA,SEC
Mississippi State,2023,IA,SEC
Mississippi Valley State,2023,IAA,SWAC
Missouri,2023,IA,SEC
Missouri State,2023,IAA,Missouri_V
Monmouth,2023,IAA,Colonial
Montana,2023,IAA,Big_Sky
Montana State,2023,IAA,Big_Sky
Morehead State,2023,IAA,Pioneer
Morgan State,2023,IAA,MEAC
Murray State,2023,IAA,Missouri_V
Navy,2023,IA,Amer_Athl
Nebraska,2023,IA,Big_Ten
Nevada - Las Vegas,2023,IA,MWC
Nevada - Reno,2023,IA,MWC
New Hampshire,2023,IAA,Colonial
New Mexico,2023,IA,MWC
New Mexico State,2023,IA,CUSA
Nicholls State,2023,IAA,Southland
Norfolk State,2023,IAA,MEAC
North Alabama,2023,IAA,ASUN_WAC
North Carolina,2023,IA,ACC
North Carolina - Charlotte,2023,IA,Amer_Athl
North Carolina A&T,2023,IAA,Colonial
North Carolina Central,2023,IAA,MEAC
North Carolina State,2023,IA,ACC
North Dakota,2023,IAA,Missouri_V
North Dakota State,2023,IAA,Missouri_V
Northeast Louisiana,2023,IA,Sun_Belt
Northern Arizona,2023,IAA,Big_Sky
Northern Colorado,2023,IAA,Big_Sky
Northern Illinois,2023,IA,MAC
Northern Iowa,2023,IAA,Missouri_V
North Texas,2023,IA,Amer_Athl
Northwestern,2023,IA,Big_Ten
Northwestern State,2023,IAA,Southland
Notre Dame,2023,IA,Indep
Ohio,2023,IA,MAC
Ohio State,2023,IA,Big_Ten
Oklahoma,2023,IA,Big_12
Oklahoma State,2023,IA,Big_12
Old Dominion,2023,IA,Sun_Belt
Oregon,2023,IA,PAC_12
Oregon State,2023,IA,PAC_12
Penn State,2023,IA,Big_Ten
Pennsylvania,2023,IAA,Ivy
Pittsburgh,2023,IA,ACC
Portland State,2023,IAA,Big_Sky
Prairie View,2023,IAA,SWAC
Presbyterian,2023,IAA,Pioneer
Princeton,2023,IAA,Ivy
Purdue,2023,IA,Big_Ten
Rhode Island,2023,IAA,Colonial
Rice,2023,IA,Amer_Athl
Richmond,2023,IAA,Colonial
Robert Morris,2023,IAA,BigSouth_OhioV
Rutgers,2023,IA,Big_Ten
Sacramento State,2023,IAA,Big_Sky
Sacred Heart,2023,IAA,NE
Saint Francis - Pennsylvania,2023,IAA,NE
Saint Thomas - Minnesota,2023,IAA,Pioneer
Samford,2023,IAA,Southern
Sam Houston State,2023,IA,CUSA
San Diego,2023,IAA,Pioneer
San Diego State,2023,IA,MWC
San Jose State,2023,IA,MWC
South Alabama,2023,IA,Sun_Belt
South Carolina,2023,IA,SEC
South Carolina State,2023,IAA,MEAC
South Dakota,2023,IAA,Missouri_V
South Dakota State,2023,IAA,Missouri_V
Southeast Louisiana,2023,IAA,Southland
Southeast Missouri State,2023,IAA,BigSouth_OhioV
Southern California,2023,IA,PAC_12
Southern,2023,IAA,SWAC
Southern Illinois,2023,IAA,Missouri_V
Southern Methodist,2023,IA,Amer_Athl
Southern Mississippi,2023,IA,Sun_Belt
Southern Utah,2023,IAA,ASUN_WAC
South Florida,2023,IA,Amer_Athl
Stanford,2023,IA,PAC_12
Stephen F. Austin,2023,IAA,ASUN_WAC
Stetson,2023,IAA,Pioneer
Stonehill,2023,IAA,NE
Stony Brook,2023,IAA,Colonial
Syracuse,2023,IA,ACC
Tarleton State,2023,IAA,ASUN_WAC
Temple,2023,IA,Amer_Athl
Tennessee,2023,IA,SEC
Tennessee - Chattanooga,2023,IAA,Southern
Tennessee - Martin,2023,IAA,BigSouth_OhioV
Tennessee State,2023,IAA,BigSouth_OhioV
Tennessee Tech,2023,IAA,BigSouth_OhioV
Texas,2023,IA,Big_12
Texas A&M,2023,IA,SEC
Texas A&M-Commerce,2023,IAA,Southland
Texas Christian,2023,IA,Big_12
Texas - El Paso,2023,IA,CUSA
Texas - San Antonio,2023,IA,Amer_Athl
Texas Southern,2023,IAA,SWAC
Texas State - San Marcos,2023,IA,Sun_Belt
Texas Tech,2023,IA,Big_12
The Citadel,2023,IAA,Southern
Toledo,2023,IA,MAC
Towson,2023,IAA,Colonial
Troy State,2023,IA,Sun_Belt
Tulane,2023,IA,Amer_Athl
Tulsa,2023,IA,Amer_Athl
Utah,2023,IA,PAC_12
Utah State,2023,IA,MWC
Utah Tech,2023,IAA,ASUN_WAC
Valparaiso,2023,IAA,Pioneer
Vanderbilt,2023,IA,SEC
Villanova,2023,IAA,Colonial
Virginia,2023,IA,ACC
Virginia Military,2023,IAA,Southern
Virginia Tech,2023,IA,ACC
Wagner,2023,IAA,NE
Wake Forest,2023,IA,ACC
Washington,2023,IA,PAC_12
Washington State,2023,IA,PAC_12
Weber State,2023,IAA,Big_Sky
Western Carolina,2023,IAA,Southern
Western Illinois,2023,IAA,Missouri_V
Western Kentucky,2023,IA,CUSA
Western Michigan,2023,IA,MAC
West Virginia,2023,IA,Big_12
William & Mary,2023,IAA,Colonial
Wisconsin,2023,IA,Big_Ten
Wofford,2023,IAA,Southern
Wyoming,2023,IA,MWC
Yale,2023,IAA,Ivy
Youngstown State,2023,IAA,Missouri_V
Abilene Christian,2024,IAA,ASUN_WAC
Air Force,2024,IA,MWC
Akron,2024,IA,MAC
Alabama,2024,IA,SEC
Alabama - Birmingham,2024,IA,American
Alabama A&M,2024,IAA,SWAC
Alabama State,2024,IAA,SWAC
Albany,2024,IAA,Colonial
Alcorn State,2024,IAA,SWAC
Appalachian State,2024,IA,Sun_Belt
Arizona,2024,IA,Big_12
Arizona State,2024,IA,Big_12
Arkansas,2024,IA,SEC
Arkansas - Pine Bluff,2024,IAA,SWAC
Arkansas State,2024,IA,Sun_Belt
Army,2024,IA,American
Auburn,2024,IA,SEC
Austin Peay,2024,IAA,ASUN_WAC
Ball State,2024,IA,MAC
Baylor,2024,IA,Big_12
Bethune - Cookman,2024,IAA,SWAC
Boise State,2024,IA,MWC
Boston College,2024,IA,ACC
Bowling Green,2024,IA,MAC
Brigham Young,2024,IA,Big_12
Brown,2024,IAA,Ivy
Bryant,2024,IAA,BigSouth_OhioV
Bucknell,2024,IAA,Patriot
Buffalo,2024,IA,MAC
Butler,2024,IAA,Pioneer
California,2024,IA,ACC
California - Davis,2024,IAA,Big_Sky
California - Los Angeles,2024,IA,Big_Ten
California Poly,2024,IAA,Big_Sky
Campbell,2024,IAA,Colonial
Central Arkansas,2024,IAA,ASUN_WAC
Central Connecticut,2024,IAA,NE
Central Florida,2024,IA,Big_12
Central Michigan,2024,IA,MAC
Charleston Southern,2024,IAA,BigSouth_OhioV
Cincinnati,2024,IA,Big_12
Clemson,2024,IA,ACC
Coastal Carolina,2024,IA,Sun_Belt
Colgate,2024,IAA,Patriot
Colorado,2024,IA,Big_12
Colorado State,2024,IA,MWC
Columbia,2024,IAA,Ivy
Connecticut,2024,IA,Indep
Cornell,2024,IAA,Ivy
Dartmouth,2024,IAA,Ivy
Davidson,2024,IAA,Pioneer
Dayton,2024,IAA,Pioneer
Delaware,2024,IAA,Colonial
Delaware State,2024,IAA,MEAC
Drake,2024,IAA,Pioneer
Duke,2024,IA,ACC
Duquesne,2024,IAA,NE
East Carolina,2024,IA,American
East Tennessee State,2024,IAA,Southern
Eastern Illinois,2024,IAA,BigSouth_OhioV
Eastern Kentucky,2024,IAA,ASUN_WAC
Eastern Michigan,2024,IA,MAC
Eastern Washington,2024,IAA,Big_Sky
Elon,2024,IAA,Colonial
Florida,2024,IA,SEC
Florida A&M,2024,IAA,SWAC
Florida Atlantic,2024,IA,American
Florida International,2024,IA,CUSA
Florida State,2024,IA,ACC
Fordham,2024,IAA,Patriot
Fresno State,2024,IA,MWC
Furman,2024,IAA,Southern
Gardner - Webb,2024,IAA,BigSouth_OhioV
Georgetown,2024,IAA,Patriot
Georgia,2024,IA,SEC
Georgia Southern,2024,IA,Sun_Belt
Georgia State,2024,IA,Sun_Belt
Georgia Tech,2024,IA,ACC
Grambling,2024,IAA,SWAC
Hampton,2024,IAA,Colonial
Harvard,2024,IAA,Ivy
Hawaii,2024,IA,MWC
Holy Cross,2024,IAA,Patriot
Houston,2024,IA,Big_12
Houston Christian,2024,IAA,Southland
Howard,2024,IAA,MEAC
Idaho,2024,IAA,Big_Sky
Idaho State,2024,IAA,Big_Sky
Illinois,2024,IA,Big_Ten
Illinois State,2024,IAA,Missouri_V
Incarnate Word,2024,IAA,Southland
Indiana,2024,IA,Big_Ten
Indiana State,2024,IAA,Missouri_V
Iowa,2024,IA,Big_Ten
Iowa State,2024,IA,Big_12
Jackson State,2024,IAA,SWAC
Jacksonville State,2024,IA,CUSA
James Madison,2024,IA,Sun_Belt
Kansas,2024,IA,Big_12
Kansas State,2024,IA,Big_12
Kennesaw State,2024,IA,CUSA
Kent State,2024,IA,MAC
Kentucky,2024,IA,SEC
Lafayette,2024,IAA,Patriot
Lamar,2024,IAA,Southland
Lehigh,2024,IAA,Patriot
Liberty,2024,IA,CUSA
Lindenwood,2024,IAA,BigSouth_OhioV
Long Island,2024,IAA,NE
Louisiana - Lafayette,2024,IA,Sun_Belt
Louisiana State,2024,IA,SEC
Louisiana Tech,2024,IA,CUSA
Louisville,2024,IA,ACC
Maine,2024,IAA,Colonial
Marist,2024,IAA,Pioneer
Marshall,2024,IA,Sun_Belt
Maryland,2024,IA,Big_Ten
Massachusetts,2024,IA,Indep
McNeese State,2024,IAA,Southland
Memphis,2024,IA,American
Mercer,2024,IAA,Southern
Merrimack,2024,IAA,NE
Miami - Florida,2024,IA,ACC
Miami - Ohio,2024,IA,MAC
Michigan,2024,IA,Big_Ten
Michigan State,2024,IA,Big_Ten
Middle Tennessee State,2024,IA,CUSA
Minnesota,2024,IA,Big_Ten
Mississippi,2024,IA,SEC
Mississippi State,2024,IA,SEC
Mississippi Valley State,2024,IAA,SWAC
Missouri,2024,IA,SEC
Missouri State,2024,IAA,Missouri_V
Monmouth,2024,IAA,Colonial
Montana,2024,IAA,Big_Sky
Montana State,2024,IAA,Big_Sky
Morehead State,2024,IAA,Pioneer
Morgan State,2024,IAA,MEAC
Murray State,2024,IAA,Missouri_V
Navy,2024,IA,American
Nebraska,2024,IA,Big_Ten
Nevada - Las Vegas,2024,IA,MWC
Nevada - Reno,2024,IA,MWC
New Hampshire,2024,IAA,Colonial
New Mexico,2024,IA,MWC
New Mexico State,2024,IA,CUSA
Nicholls State,2024,IAA,Southland
Norfolk State,2024,IAA,MEAC
North Alabama,2024,IAA,ASUN_WAC
North Carolina,2024,IA,ACC
North Carolina - Charlotte,2024,IA,American
North Carolina A&T,2024,IAA,Colonial
North Carolina Central,2024,IAA,MEAC
North Carolina State,2024,IA,ACC
North Dakota,2024,IAA,Missouri_V
North Dakota State,2024,IAA,Missouri_V
Northeast Louisiana,2024,IA,Sun_Belt
Northern Arizona,2024,IAA,Big_Sky
Northern Colorado,2024,IAA,Big_Sky
Northern Illinois,2024,IA,MAC
Northern Iowa,2024,IAA,Missouri_V
North Texas,2024,IA,American
Northwestern,2024,IA,Big_Ten
Northwestern State,2024,IAA,Southland
Notre Dame,2024,IA,Indep
Ohio,2024,IA,MAC
Ohio State,2024,IA,Big_Ten
Oklahoma,2024,IA,SEC
Oklahoma State,2024,IA,Big_12
Old Dominion,2024,IA,Sun_Belt
Oregon,2024,IA,Big_Ten
Oregon State,2024,IA,PAC_12
Penn State,2024,IA,Big_Ten
Pennsylvania,2024,IAA,Ivy
Pittsburgh,2024,IA,ACC
Portland State,2024,IAA,Big_Sky
Prairie View,2024,IAA,SWAC
Presbyterian,2024,IAA,Pioneer
Princeton,2024,IAA,Ivy
Purdue,2024,IA,Big_Ten
Rhode Island,2024,IAA,Colonial
Rice,2024,IA,American
Richmond,2024,IAA,Colonial
Robert Morris,2024,IAA,BigSouth_OhioV
Rutgers,2024,IA,Big_Ten
Sacramento State,2024,IAA,Big_Sky
Sacred Heart,2024,IAA,NE
Saint Francis - Pennsylvania,2024,IAA,NE
Saint Thomas - Minnesota,2024,IAA,Pioneer
Samford,2024,IAA,Southern
Sam Houston State,2024,IA,CUSA
San Diego,2024,IAA,Pioneer
San Diego State,2024,IA,MWC
San Jose State,2024,IA,MWC
South Alabama,2024,IA,Sun_Belt
South Carolina,2024,IA,SEC
South Carolina State,2024,IAA,MEAC
South Dakota,2024,IAA,Missouri_V
South Dakota State,2024,IAA,Missouri_V
Southeast Louisiana,2024,IAA,Southland
Southeast Missouri State,2024,IAA,BigSouth_OhioV
Southern California,2024,IA,Big_Ten
Southern,2024,IAA,SWAC
Southern Illinois,2024,IAA,Missouri_V
Southern Methodist,2024,IA,ACC
Southern Mississippi,2024,IA,Sun_Belt
Southern Utah,2024,IAA,ASUN_WAC
South Florida,2024,IA,American
Stanford,2024,IA,ACC
Stephen F. Austin,2024,IAA,ASUN_WAC
Stetson,2024,IAA,Pioneer
Stonehill,2024,IAA,NE
Stony Brook,2024,IAA,Colonial
Syracuse,2024,IA,ACC
Tarleton State,2024,IAA,ASUN_WAC
Temple,2024,IA,American
Tennessee,2024,IA,SEC
Tennessee - Chattanooga,2024,IAA,Southern
Tennessee - Martin,2024,IAA,BigSouth_OhioV
Tennessee State,2024,IAA,BigSouth_OhioV
Tennessee Tech,2024,IAA,BigSouth_OhioV
Texas,2024,IA,SESEC
Texas A&M,2024,IA,SEC
Texas A&M-Commerce,2024,IAA,Southland
Texas Christian,2024,IA,Big_12
Texas - El Paso,2024,IA,CUSA
Texas - San Antonio,2024,IA,American
Texas Southern,2024,IAA,SWAC
Texas State - San Marcos,2024,IA,Sun_Belt
Texas Tech,2024,IA,Big_12
The Citadel,2024,IAA,Southern
Toledo,2024,IA,MAC
Towson,2024,IAA,Colonial
Troy State,2024,IA,Sun_Belt
Tulane,2024,IA,American
Tulsa,2024,IA,American
Utah,2024,IA,Big_12
Utah State,2024,IA,MWC
Utah Tech,2024,IAA,ASUN_WAC
Valparaiso,2024,IAA,Pioneer
Vanderbilt,2024,IA,SEC
Villanova,2024,IAA,Colonial
Virginia,2024,IA,ACC
Virginia Military,2024,IAA,Southern
Virginia Tech,2024,IA,ACC
Wagner,2024,IAA,NE
Wake Forest,2024,IA,ACC
Washington,2024,IA,Big_Ten
Washington State,2024,IA,PAC_12
Weber State,2024,IAA,Big_Sky
Western Carolina,2024,IAA,Southern
Western Illinois,2024,IAA,Missouri_V
Western Kentucky,2024,IA,CUSA
Western Michigan,2024,IA,MAC
West Virginia,2024,IA,Big_12
William & Mary,2024,IAA,Colonial
Wisconsin,2024,IA,Big_Ten
Wofford,2024,IAA,Southern
Wyoming,2024,IA,MWC
Yale,2024,IAA,Ivy
Youngstown State,2024,IAA,Missouri_V
